dataset,scene,frame_index,uid,baseline_psnr,ours_psnr,delta_psnr,scene_delta_psnr
rpng,table_07,2955,1662924254154785156.png,25.362627029418945,28.28976821899414,2.9271411895751953,1.4890395942958747
rpng,table_01,1295,1662915774510214806.png,24.240257263183594,27.16689109802246,2.926633834838867,1.652589399026212
rpng,table_08,1965,1662925857842208624.png,21.805740356445312,24.732208251953125,2.9264678955078125,1.692766843330734
rpng,table_07,3795,1662924282171764135.png,25.41324234008789,28.33955955505371,2.9263172149658203,1.4890395942958747
rpng,table_05,2925,1662923866048697472.png,25.03706169128418,27.962434768676758,2.925373077392578,1.0883580475224477
aria,aria1253,790,3854269937300.jpg,24.272945404052734,27.197580337524414,2.9246349334716797,1.7197942733764648
rpng,table_03,4030,1662918596790935516.png,21.435455322265625,24.357995986938477,2.9225406646728516,1.7509620873292064
rpng,table_08,6565,1662926011251323938.png,20.24500274658203,23.167306900024414,2.922304153442383,1.692766843330734
rpng,table_08,3140,1662925897018414497.png,22.202781677246094,25.123994827270508,2.921213150024414,1.692766843330734
rpng,table_06,2370,1662924086011603355.png,24.532854080200195,27.45325469970703,2.920400619506836,1.7908915442389421
rpng,table_08,5515,1662925976236421108.png,23.538410186767578,26.458354949951172,2.9199447631835938,1.692766843330734
rpng,table_08,6165,1662925997913422108.png,21.828590393066406,24.747724533081055,2.9191341400146484,1.692766843330734
rpng,table_08,7495,1662926042244668484.png,22.65714454650879,25.575225830078125,2.918081283569336,1.692766843330734
aria,aria301_305,2120,1522350694187.jpg,26.28453826904297,29.201433181762695,2.9168949127197266,3.185685308169788
rpng,table_08,5860,1662925987741065502.png,21.22673225402832,24.143552780151367,2.916820526123047,1.692766843330734
rpng,table_04,4045,1662919290628540754.png,22.656728744506836,25.572717666625977,2.9159889221191406,1.1251944239738059
rpng,table_03,1080,1662918498430540562.png,19.835803985595703,22.751110076904297,2.9153060913085938,1.7509620873292064
rpng,table_05,2905,1662923865382824183.png,25.156837463378906,28.07093620300293,2.9140987396240234,1.0883580475224477
rpng,table_08,2985,1662925891854802132.png,23.8514347076416,26.76457405090332,2.9131393432617188,1.692766843330734
rpng,table_04,4050,1662919290795918465.png,22.563541412353516,25.476444244384766,2.91290283203125,1.1251944239738059
rpng,table_07,2100,1662924225641131639.png,26.491127014160156,29.403371810913086,2.9122447967529297,1.4890395942958747
rpng,table_02,2080,1662917432201682091.png,20.530948638916016,23.443029403686523,2.912080764770508,2.1988808030951503
rpng,table_02,1250,1662917404536209345.png,19.237276077270508,22.148645401000977,2.9113693237304688,2.1988808030951503
rpng,table_01,1570,1662915783690396309.png,24.156688690185547,27.06749725341797,2.910808563232422,1.652589399026212
rpng,table_02,2460,1662917444877118349.png,20.89995574951172,23.810123443603516,2.910167694091797,2.1988808030951503
rpng,table_08,1115,1662925829488548994.png,22.190885543823242,25.098859786987305,2.9079742431640625,1.692766843330734
rpng,table_07,1755,1662924214135305405.png,24.524398803710938,27.431926727294922,2.9075279235839844,1.4890395942958747
rpng,table_03,4820,1662918623145673037.png,21.174800872802734,24.081783294677734,2.906982421875,1.7509620873292064
rpng,table_07,460,1662924170949347496.png,24.06591033935547,26.971694946289062,2.9057846069335938,1.4890395942958747
rpng,table_08,4850,1662925954048440218.png,23.175962448120117,26.08172607421875,2.905763626098633,1.692766843330734
rpng,table_02,1960,1662917428199953556.png,20.919340133666992,23.82508087158203,2.905740737915039,2.1988808030951503
